ID,species_code,family,genus,species,scientific_name,Native,Max DBH,diversity_level,persistence,native-range,form,species_rating,shade_factor
241,sprred,Pinaceae,Spruce,Red Spruce,Picea rubens,Yes,60,species,Evergreen,,T,0.75,0.79
242,sprser,Pinaceae,Spruce,Serbian Spruce,Picea omrika,No,50,species,Evergreen,,T,0.78,0.79
243,sprspp,Pinaceae,Spruce,Spruce species,Picea spp,N/A,,genus,Evergreen,,,,0.79
244,sprwhi,Pinaceae,Spruce,White Spruce,Picea glauca,Yes,60,species,Evergreen,North America: Across Canada,T,0.72,0.79
246,sumacs,Anacardiaceae,Sumac,Sumac,Rhus typhina,Yes,,species,Deciduous,North shore of Lake Superior east to Nova Scotia,T,0.8,0.79
247,sumspp,Anacardiaceae,Sumac,Sumac sp,Rhus spp,N/A,20,genus,Deciduous,,,,0.7
248,sweetg,Hamamelidaceae,Sweetgum,Sweetgum,Liquidambar styraciflua,No,,species,Deciduous,North America,T,0.45,0.82
226,werece,Cupressaceae,Thuja (Cedar),Western Red Cedar,Thuja plicata,No,90,species,Evergreen,,T,0.7,0.7
252,treeof,Simaroubaceae,Tree of Heaven,Tree of Heaven,Ailanthus altissima,No,40,species,Deciduous,China,T,0.49,0.79
253,tulipt,Magnoliaceae,Tulip-Tree,Tulip Tree,Liriodendron tulipifera,Yes,,species,Deciduous,North America,T,0.77,0.9
254,unknow,unknown,unknown,unknown species,unknown species,N/A,,other,,,,,
176,nannyb,Rutaceae,Viburnum,Nannyberry,Viburnum lentago,Yes,100,species,Deciduous,"Hudson Bay, South to Georgia and Mississippi; United States",T,0.6,0.79
255,vibspp,Rutaceae,Viburnum,Nannyberry,Viburnum spp,N/A,,genus,Deciduous,,,,0.7
285,wayfar,Rutaceae,Viburnum,Wayfaring Tree,Viburnum lantana,No,,species,Deciduous,,T,,
68,devils,Araliaceae,Walkingstick,Devils-walkingstick,Aralia spinosa,No,100,species,Deciduous,South Eastern U.S.A.,T,0.7,0.79
36,butter,Juglandaceae,Walnut/Butternut,Butternut,Juglans cinerea,Yes,70,species,Deciduous,Eastern North America,T,0.63,0.91
256,walbla,Juglandaceae,Walnut/Butternut,Black Walnut,Juglans nigra,Yes,,species,Deciduous,"Southern Ontario, North Eastern US",T,0.67,0.91
257,waleng,Juglandaceae,Walnut/Butternut,English Walnut,Juglans regia,No,,species,Deciduous,"Southeast Europe, Western Asia; United States",T,0.7,0.91
